UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
Q9H1R3,MYLK2,15.2347146858624,15.2239638827596,0.0107508031028427,0.860864375320321,0.175412768271704
P05155,SERPING1,20.207143996643,20.1976682188852,0.00947577775774633,0.910337002292649,0.11267833051707
Q04695,KRT17,15.7438954304979,15.7367732794059,0.00712215109193792,0.959933200341903,0.0502968367061256
P04075,ALDOA,16.0858000696496,16.0865769950997,-0.000776925450093557,0.997091602746693,-0.00364958336619416
Q09666,AHNAK,21.0577678656954,21.0590203871226,-0.00125252142720456,0.98966172186105,-0.0129746491569764
P03951,F11,12.4331973951744,12.4356642157604,-0.00246682058603653,0.972814433346938,-0.0341039529578473
O75144,ICOSLG,9.83731289141675,9.84162738322134,-0.00431449180459254,0.958864354166551,-0.0516659359147106
P34932,HSPA4,19.2111971644619,19.2174722799077,-0.00627511544580983,0.936116566302396,-0.0801976758627652
P14618,PKM,17.5427721433134,17.5495980009135,-0.00682585760012344,0.964395810432856,-0.0446914866022952
P01031,C5,17.0311508934262,17.0430635771746,-0.0119126837483421,0.853632921601948,-0.184593704354494
Q9H8L6,MMRN2,10.752702072311,10.7661174061864,-0.0134153338754626,0.842238029484772,-0.19930772128455
P49327,FASN,18.589331648646,18.6067907389656,-0.0174590903195657,0.836157206270598,-0.207003624189943
Q7L8L6,FASTKD5,15.9395089606614,15.9588035091147,-0.019294548453308,0.82541674546302,-0.220747701800104
P29350,PTPN6,18.3657247654442,18.3874231270806,-0.0216983616363677,0.744480377224221,-0.326152540470784
P06737,PYGL,14.3248425811867,14.3478069469189,-0.0229643657322285,0.74617453634614,-0.32402998097623
P00751,CFB,19.1011671952523,19.1253562210001,-0.024189025747738,0.699195991933645,-0.386656857404009
P19367,HK1,18.8747081441832,18.900553429394,-0.0258452852107389,0.878726301373941,-0.152754660468603
P81605,DCD,9.3881435947341,9.4181851464158,-0.0300415516816983,0.745737252691065,-0.324660190527761
Q8NC51,SERBP1,15.2735693432082,15.3038755709596,-0.0303062277514616,0.836503251325618,-0.206517893535891
P02042,HBD,16.1949372251554,16.2259696661127,-0.0310324409572935,0.915810928910694,-0.105840726405729
Q9Y490,TLN1,18.9347157093915,18.9668819873368,-0.0321662779452154,0.764249746273387,-0.300216311606487
Q03591,CFHR1,11.5800070383533,11.6122364466756,-0.0322294083223564,0.805479282638508,-0.246524554174467
Q14624,ITIH4,19.8364530503782,19.8695443349296,-0.033091284551432,0.591669441473846,-0.536815781240817
Q14974,KPNB1,18.6346199754778,18.6699958595949,-0.0353758841170837,0.740866147271186,-0.331184955793205
Q10589,BST2,15.7653007119523,15.8016887187502,-0.0363880067979014,0.696425417732843,-0.390679423448922
P13667,PDIA4,14.9959042850315,15.0332190151047,-0.0373147300731542,0.775109855475573,-0.285949864672671
P13671,C6,15.3676809716434,15.4053685814283,-0.0376876097849177,0.496135155350109,-0.681145908755052
P16070,CD44,12.9640238349938,13.0024890206076,-0.0384651856137932,0.492534856420633,-0.686882862095111
P02649,APOE,17.4596368405023,17.5015759398675,-0.041939099365198,0.554661994190855,-0.591259180319865
P33908,MAN1A1,10.8916698590691,10.9353114321796,-0.0436415731104365,0.733940477521153,-0.340191585507707
Q99683,MAP3K5,18.558187425237,18.6037115808483,-0.0455241556113251,0.761560305922069,-0.303856797759125
P01024,C3,22.2060268399399,22.2516264189775,-0.0455995790375745,0.391878817851217,-0.857058083138027
Q99832,CCT7,15.4487488967409,15.4953216970192,-0.0465728002782768,0.656629923078335,-0.445151904718418
O00533,CHL1,9.81434765442247,9.86137701486446,-0.0470293604419876,0.525734554011034,-0.635199140192064
Q9NZP8,C1RL,12.551252979109,12.5990059795309,-0.0477530004218742,0.342238086254764,-0.950789390269352
Q16610,ECM1,13.4220788583034,13.4714102034837,-0.0493313451802511,0.39210463559347,-0.856654351695865
P08571,CD14,13.990551819412,14.0399804446748,-0.049428625262733,0.50144012426083,-0.672776729672461
P02786,TFRC,18.2484219531638,18.2988516099305,-0.0504296567666813,0.68547780324775,-0.405560902116122
